sent messages,received messages,mean latency,min latency,max latency,latency standard deviation,scaling factor
4005,4003,6.6307515443417415,0.329472,48.601088,12.443242779610332,1
3996,3996,6.6904127807807825,0.284416,49.592832,12.582870295137447,1
4003,4002,6.7595237261369325,0.2624,49.066496,12.555493009128526,1
9865,16283,4.180660864951177,0.257536,50.133759999999995,8.698843021954106,5
9832,16202,3.4610847016417723,0.265728,48.60288,7.596811599681848,5
9837,16250,4.036878272984616,0.268544,52.154368,8.339698691827971,1.0,5
18642,33564,3.1696503015135264,0.245248,49.639168,7.373926444470916,10
18615,33546,3.3971566074047566,0.234752,50.058240000000005,7.614512095016191,10
18625,33521,3.467748926821992,0.228608,49.553664000000005,7.8008643597662495,10
27893,51748,3.3604475745536067,0.24268800000000001,50.082304,7.554300290094621,15
27891,51814,3.408410032809665,0.235008,50.560512,7.575953819439628,15
27932,51806,3.555708155503224,0.228096,62.483456000000004,7.719873173519612,15
37684,71084,3.501720053570424,0.23398400000000003,50.3104,7.6352859178547465,20
37691,71068,3.4750387410367534,0.244736,50.590720000000005,7.50450431614266,20
37674,71207,3.4143991821028834,0.24191999999999997,53.55008,7.335838758241201,20
58682,112674,4.487502948896818,0.227584,785.792256,11.623370777829693.0,227.14333333333335,30
58700,112535,4.0959175981872304,0.223744,65.174272,7.6668985452427,30
58698,112709,3.973776425165693,0.239616,80.832,7.3457371616104865,30
81714,158193,5.190295805655117,0.23756799999999997,155.542016,8.428314523372075,40
81568,157997,4.900644411020462,0.22067199999999998,104.331008,7.869633929693039,40
81620,158031,5.1758605701413005,0.23756799999999997,95.938304,8.329884313875617,40
93617,181966,6.144160568721631,0.234752,149.657344,9.118402409386432,45
93836,182415,5.702847363911959,0.223744,294.733568,9.373980094093904,45
93790,181994,5.752497882259855,0.22912,122.68672,8.509557030955628,45
106400,207314,7.093753024378481,0.24729600000000002,186.212352,10.137037923060698,50
106451,206984,6.763943027557688,0.239616,143.717888,9.252985724759807,50
105795,206183,10.099196200656698,0.25651199999999996,294.55078399999996,15.481316177141457,50
118860,231950,10.65341417374434,0.24601599999999998,323.959296,15.34616501347433,55
118777,231885,10.452989565689887,0.246272,305.315584,15.111702591112035,55
118866,232110,10.41281142961527,0.242944,415.82003199999997,15.8412585530425,55
