sent messages,received messages,mean latency,min latency,max latency,latency standard deviation,scaling factor
3992,3992,9.139866164328657,0.21529600000000002,83.020032,15.125916379243302,1
4015,4014,8.975668169407077,0.19455999999999998,80.450048,14.977685924996006,1
3988,3988,8.753056930792377,0.23321599999999998,83.465216,14.746943626968935,1
9836,16285,10.1251585257599,0.201984,87.5456,14.183238995324086,5
9847,16232,9.759031530803352,0.18892799999999998,87.82976,13.855649882977605,5
9864,16254,10.23850041392888,0.21017600000000003,86.653184,14.052848155159914,5
18611,33549,10.110998655339953,0.170496,89.17631999999999,14.414682366106849,10
18603,33563,9.569299831361915,0.224512,92.485632,14.046262744033575,10
18630,33531,10.030525730577676,0.1984,90.03775999999999,14.480106872013149,10
27889,51871,10.136827044938405,0.19328,89.69420799999999,14.628981751757937,15
27941,51868,11.280647492249555,0.178944,92.539136,15.288360221700563,15
27865,51822,10.049180938443133,0.19814400000000001,91.513856,14.531508598068333,15
37728,71193,10.359458140884637,0.185088,92.4864,14.800816738396295,20
37681,71092,10.20895306813706,0.18329600000000001,89.66707199999999,14.746282313397673,20
37704,71206,10.613169973316856,0.189952,90.868992,15.002888774281994,20
58670,112481,9.550208613365813,0.203008,313.321728,13.98370599524218,30
58785,112728,9.142692074089846,0.209664,94.934016,13.405824860823353,30
58823,112899,9.328738609624533,0.189696,92.54912,13.519379716907132,30
81867,158431,9.902638313360391,0.201472,92.26419200000001,13.737991094740535,40
81757,158115,9.364303166277713,0.19968,91.582208,13.282643374748426,40
81880,158522,9.985400758708568,0.21683200000000002,174.290176,13.831819759899455,40
93964,182240,10.260762449868308,0.2048,143.272704,13.788581158415573,45
93885,182294,10.98549821312824,0.21888000000000002,292.517632,14.816919087122313,45
94126,182496,10.156363132386463,0.205056,94.409728,13.619390792867735,45
106587,207425,10.825574456772324,0.21862399999999999,127.801088,13.703105141042863,50
106734,207932,10.674542871938904,0.21504,196.539648,13.982720922675949,50
106632,207453,10.834515729114543,0.22016,217.65247999999997,14.045667927428,50
117342,267296,13.529557734085222,0.24499200000000002,240.335104,16.393158564662308,55
117454,267709,12.955763001514525,0.217856,258.875648,15.673365149084756,55
117455,267489,13.163747538879834,0.23014400000000002,525.902336,16.787405719415347,55
