sent messages,received messages,mean latency,min latency,max latency,latency standard deviation,scaling factor
3999,3999,6.899121580395099,0.298752,49.246976000000004,12.501823605166244,,1
3989,3988,6.734706968906719,0.34944000000000003,48.683776,12.279162320828693,,1
4012,4011,6.682647678883072,0.31462399999999996,48.970496000000004,12.347744696969288,,1
9833,16282,4.447718701879376,0.334592,49.321984,8.780778527357358,5
9827,16220,4.535519802712701,0.303616,49.755904,8.787357174389783,5
9844,16229,4.488778123112946,0.36531199999999997,49.094912,8.897832330968688,5
18660,33621,4.069563920644836,0.321536,50.461184,8.197901072138917,10
18644,33566,3.626074178871477,0.347648,49.861888,7.52387884064932,10
18640,33559,3.6780142397568465,0.321024,49.901056,7.521548892460897,10
27926,51883,3.6547690913786792,0.324864,50.703359999999996,7.390901361517369,15
27920,51789,3.500271598679256,0.312576,49.989888,7.1301726042626274,15
27869,51763,3.668900100535132,0.31232,50.76096,7.430276573573519,15
37632,71036,3.8587079795033503,0.329984,67.25632,7.284338455414586,20
37702,71181,4.018835429904047,0.30848000000000003,53.86956800000001,7.6346668688671375,20
37662,71065,3.8758357708576647,0.33100799999999997,70.221312,7.287088784355481,20
58732,112701,6.2229707221763775,0.308224,214.65651200000002,12.750906296860107,30
58692,112692,21.310705640719835,0.307712,1370.202368,96.23376531988798,30
58729,112632,5.694459763335465,0.334592,208.000768,10.440529861114438,30
81798,158254,13.254098390283975,0.325376,208.78464,19.48869160204821,40
81710,158055,13.64134724504761,0.322048,438.62912,27.895563550290287,40
81697,158178,15.479667523524132,0.29056,544.86144,33.68957550698919,40
93871,182302,45.46046619468794,0.347648,1528.73856,86.07859771443545,45
94031,182594,23.23854202999004,0.33561599999999997,339.38483199999996,27.26850732830265,45
94018,182483,27.259992641769372,0.354304,363.18976000000004,32.14772473257864,45
106572,207041,138.72600976139026,0.322048,1644.414976,170.1826887457314,50
106637,207137,344.108028554319,0.38656,4791.966208,457.2112015765245,50
106454,206196,266.6723321211274,0.46617600000000003,1947.5010559999998,238.22519011853268,50
