runtime_x,latency
0.983525888,1.446656
1.779858688,1.7344
1.935639808,1.353728
2.739243264,0.467712
2.776973824,0.432896
3.438339072,1.195008
3.781002752,1.549312
4.78419328,1.682944
4.939790336,1.050624
5.786820608,1.463296
6.442087168,1.376256
6.789768704,1.438208
7.657500672,1.182208
7.790757376,1.310976
7.943897344,1.947136
8.7076288,1.232128
8.792790272,1.33248
8.938278912,1.233408
9.44586368,1.37856
9.793589248,1.72416
10.796461824,1.2224
10.946774016,1.62688
11.246681088,1.664768
11.699657984,1.221632
11.798585088,1.435648
12.450624,1.421056
12.801047808,1.066496
13.805174784,1.15456
13.894857216,1.048064
13.950664192,1.10848
14.806039296,1.307648
15.454185984,1.71776
15.807983872,1.775616
16.081977856,0.651008
16.810579456,1.669888
16.95548416,1.387776
17.47731456,0.472832
17.65374848,0.48512
17.809357056,0.765696
18.197688576,0.918784
18.457661184,1.476096
18.742886144,0.457728
18.80973696,0.421376
19.019484928,1.086976
19.814862848,0.989696
19.958180352,0.987648
20.490988544,0.893696
20.798046464,1.281792
20.8147712,1.247744
21.316767744,0.879104
21.459393536,0.637696
21.815656448,1.047552
21.963049984,1.257984
22.818636544,1.285888
22.962496512,1.434112
23.0932416,1.189632
23.43138048,1.441024
23.821819648,1.658112
24.465820672,1.602048
24.82325376,1.649664
25.68137984,1.582336
25.823936512,1.691904
25.966253312,1.504
26.765325312,1.426944
26.82768512,1.073152
26.901346304,1.449984
27.304991488,1.755392
27.46852096,1.57824
27.82709376,0.493568
28.209182208,1.245184
28.5070848,1.028608
28.586733312,1.363712
28.831068416,1.640192
28.968667136,0.493312
29.833716992,1.43104
