r,b4423fe4-1515-11eb-bd4b-0242ac130002,1603446852769401838,
s,b4523854-1515-11eb-a24b-0242ac130004,1603446852871643699,Heizung/Schlafzimmer
r,b4587980-1515-11eb-bd4b-0242ac130002,1603446852914575857,
s,b4686c82-1515-11eb-a24b-0242ac130004,1603446853017169375,Heizung/Küche
r,b4c64898-1515-11eb-bd4b-0242ac130002,1603446853633327711,
r,b4c9c02c-1515-11eb-bd4b-0242ac130002,1603446853656064428,
s,b4d6130e-1515-11eb-a24b-0242ac130004,1603446853735769579,Heizung/Schlafzimmer
r,b4d71f4c-1515-11eb-bd4b-0242ac130002,1603446853743672253,
s,b4d96554-1515-11eb-a24b-0242ac130004,1603446853757512412,Heizung/Schlafzimmer
s,b4e714ce-1515-11eb-a24b-0242ac130004,1603446853847225319,Heizung/Flur
r,b4f1501a-1515-11eb-bd4b-0242ac130002,1603446853915648688,
r,b4fca4d8-1515-11eb-bd4b-0242ac130002,1603446853989780304,
s,b5013ae8-1515-11eb-a24b-0242ac130004,1603446854018587190,Heizung/Küche
s,b50c773c-1515-11eb-a24b-0242ac130004,1603446854092222709,Heizung/Schlafzimmer
r,b50c4898-1515-11eb-bd4b-0242ac130002,1603446854093266343,
s,b51c3906-1515-11eb-a24b-0242ac130004,1603446854195488572,Heizung/Schlafzimmer
r,b567fc9c-1515-11eb-bd4b-0242ac130002,1603446854692927354,
s,b5778b8a-1515-11eb-a24b-0242ac130004,1603446854793956319,Heizung/Schlafzimmer
r,b58a40ea-1515-11eb-bd4b-0242ac130002,1603446854917255894,
s,b599c75e-1515-11eb-a24b-0242ac130004,1603446855018303730,Heizung/Küche
r,b5bc1b1a-1515-11eb-bd4b-0242ac130002,1603446855244018425,
r,b5c1fc10-1515-11eb-bd4b-0242ac130002,1603446855282496980,
s,b5cb9432-1515-11eb-a24b-0242ac130004,1603446855344669188,Heizung/Flur
s,b5d18518-1515-11eb-a24b-0242ac130004,1603446855383615487,Heizung/Schlafzimmer
r,b5fef2aa-1515-11eb-bd4b-0242ac130002,1603446855683013890,
s,b60ebb90-1515-11eb-a24b-0242ac130004,1603446855784807457,Heizung/Schlafzimmer
r,b62301c2-1515-11eb-bd4b-0242ac130002,1603446855918378700,
s,b632927c-1515-11eb-a24b-0242ac130004,1603446856019665571,Heizung/Küche
r,b6584896-1515-11eb-bd4b-0242ac130002,1603446856268244529,
s,b6681316-1515-11eb-a24b-0242ac130004,1603446856370298381,Heizung/Schlafzimmer
r,b6a141ea-1515-11eb-bd4b-0242ac130002,1603446856746000115,
s,b6b0fd10-1515-11eb-a24b-0242ac130004,1603446856848170497,Heizung/Flur
r,b6bbf3e6-1515-11eb-bd4b-0242ac130002,1603446856921452935,
s,b6cbaf20-1515-11eb-a24b-0242ac130004,1603446857023079887,Heizung/Küche
r,b74c72cc-1515-11eb-bd4b-0242ac130002,1603446857867766386,
r,b754c648-1515-11eb-bd4b-0242ac130002,1603446857923072661,
s,b75c0d7c-1515-11eb-a24b-0242ac130004,1603446857969259565,Heizung/Schlafzimmer
s,b764a1da-1515-11eb-a24b-0242ac130004,1603446858025485373,Heizung/Küche
r,b786599c-1515-11eb-bd4b-0242ac130002,1603446858247640761,
s,b7961c10-1515-11eb-a24b-0242ac130004,1603446858349802063,Heizung/Flur
r,b7c55ab6-1515-11eb-bd4b-0242ac130002,1603446858660786325,
s,b7d52608-1515-11eb-a24b-0242ac130004,1603446858762874678,Heizung/Schlafzimmer
r,b7edd61c-1515-11eb-bd4b-0242ac130002,1603446858926498218,
s,b7fda0c4-1515-11eb-a24b-0242ac130004,1603446859028113681,Heizung/Küche
r,b823afee-1515-11eb-bd4b-0242ac130002,1603446859278928184,
s,b83371d6-1515-11eb-a24b-0242ac130004,1603446859380829896,Heizung/Schlafzimmer
r,b85b9fbc-1515-11eb-bd4b-0242ac130002,1603446859645508288,
s,b86b6a6e-1515-11eb-a24b-0242ac130004,1603446859747660248,Heizung/Schlafzimmer
r,b86b79d2-1515-11eb-bd4b-0242ac130002,1603446859750456769,
s,b87b75a8-1515-11eb-a24b-0242ac130004,1603446859852803232,Heizung/Flur
r,b886aa68-1515-11eb-bd4b-0242ac130002,1603446859927904432,
r,b894bd7e-1515-11eb-bd4b-0242ac130002,1603446860020602214,
s,b8966296-1515-11eb-a24b-0242ac130004,1603446860029240889,Heizung/Küche
s,b8a4b0a8-1515-11eb-a24b-0242ac130004,1603446860123015495,Heizung/Schlafzimmer
r,b90cf5dc-1515-11eb-bd4b-0242ac130002,1603446860807711059,
s,b91cc23c-1515-11eb-a24b-0242ac130004,1603446860909889587,Heizung/Schlafzimmer
r,b91f75d6-1515-11eb-bd4b-0242ac130002,1603446860929183980,
s,b92f3944-1515-11eb-a24b-0242ac130004,1603446861030911115,Heizung/Küche
r,b950b2b8-1515-11eb-bd4b-0242ac130002,1603446861251993940,
s,b9606ad2-1515-11eb-a24b-0242ac130004,1603446861353277778,Heizung/Flur
r,b9b8463a-1515-11eb-bd4b-0242ac130002,1603446861930944500,
s,b9c80a16-1515-11eb-a24b-0242ac130004,1603446862032385308,Heizung/Küche
r,ba0a1ec4-1515-11eb-bd4b-0242ac130002,1603446862467426734,
s,ba19f4ac-1515-11eb-a24b-0242ac130004,1603446862569250284,Heizung/Schlafzimmer
r,ba35ca06-1515-11eb-bd4b-0242ac130002,1603446862753481458,
s,ba45ac3c-1515-11eb-a24b-0242ac130004,1603446862855755662,Heizung/Flur
r,ba512a08-1515-11eb-bd4b-0242ac130002,1603446862931797197,
s,ba60bfb8-1515-11eb-a24b-0242ac130004,1603446863033170831,Heizung/Küche
r,ba85bc5a-1515-11eb-bd4b-0242ac130002,1603446863276285368,
s,ba9546f2-1515-11eb-a24b-0242ac130004,1603446863377408849,Heizung/Schlafzimmer
r,bae8c5b6-1515-11eb-bd4b-0242ac130002,1603446863926531651,
r,baea037c-1515-11eb-bd4b-0242ac130002,1603446863934386044,
s,baf890ae-1515-11eb-a24b-0242ac130004,1603446864028133465,Heizung/Schlafzimmer
s,baf9c424-1515-11eb-a24b-0242ac130004,1603446864036009355,Heizung/Küche
r,bb1788e2-1515-11eb-bd4b-0242ac130002,1603446864232784365,
r,bb1adc40-1515-11eb-bd4b-0242ac130002,1603446864254648056,
s,bb276b72-1515-11eb-a24b-0242ac130004,1603446864335210207,Heizung/Schlafzimmer
s,bb2ad10e-1515-11eb-a24b-0242ac130004,1603446864357468588,Heizung/Flur
r,bb2a8820-1515-11eb-bd4b-0242ac130002,1603446864358893494,
s,bb3a99e0-1515-11eb-a24b-0242ac130004,1603446864460921757,Heizung/Schlafzimmer
r,bb82c5bc-1515-11eb-bd4b-0242ac130002,1603446864934592579,
s,bb925d38-1515-11eb-a24b-0242ac130004,1603446865036062681,Heizung/Küche
r,bbb5d844-1515-11eb-bd4b-0242ac130002,1603446865270403945,
s,bbc59572-1515-11eb-a24b-0242ac130004,1603446865371722952,Heizung/Schlafzimmer
r,bbfc6f2a-1515-11eb-bd4b-0242ac130002,1603446865733084598,
r,bbfff870-1515-11eb-bd4b-0242ac130002,1603446865756226603,
s,bc0c76f4-1515-11eb-a24b-0242ac130004,1603446865836264593,Heizung/Schlafzimmer
s,bc0fca7a-1515-11eb-a24b-0242ac130004,1603446865858066343,Heizung/Flur
r,bc1ba638-1515-11eb-bd4b-0242ac130002,1603446865937473709,
s,bc2b9390-1515-11eb-a24b-0242ac130004,1603446866040176781,Heizung/Küche
r,bca31794-1515-11eb-bd4b-0242ac130002,1603446866824642033,
r,bcabff8a-1515-11eb-bd4b-0242ac130002,1603446866883416373,
s,bcb2e17e-1515-11eb-a24b-0242ac130004,1603446866926904500,Heizung/Schlafzimmer
r,bcb46940-1515-11eb-bd4b-0242ac130002,1603446866938493962,
s,bcbbb5e2-1515-11eb-a24b-0242ac130004,1603446866984747642,Heizung/Schlafzimmer
s,bcc42c2c-1515-11eb-a24b-0242ac130004,1603446867040205433,Heizung/Küche
r,bce51414-1515-11eb-bd4b-0242ac130002,1603446867257499392,
s,bcf4d7d2-1515-11eb-a24b-0242ac130004,1603446867359163500,Heizung/Flur
r,bd37f79c-1515-11eb-bd4b-0242ac130002,1603446867801636895,
s,bd48059c-1515-11eb-a24b-0242ac130004,1603446867904304858,Heizung/Schlafzimmer
r,bd4d3bc0-1515-11eb-bd4b-0242ac130002,1603446867940504635,
s,bd5d159a-1515-11eb-a24b-0242ac130004,1603446868042353380,Heizung/Küche
r,bdca2a40-1515-11eb-bd4b-0242ac130002,1603446868759009263,
s,bdd9f38a-1515-11eb-a24b-0242ac130004,1603446868860672317,Heizung/Flur
r,bde5fe96-1515-11eb-bd4b-0242ac130002,1603446868941050848,
s,bdf5cc7c-1515-11eb-a24b-0242ac130004,1603446869043182649,Heizung/Küche
r,be14dcc0-1515-11eb-bd4b-0242ac130002,1603446869248649145,
r,be1853e6-1515-11eb-bd4b-0242ac130002,1603446869271255912,
s,be24bfaa-1515-11eb-a24b-0242ac130004,1603446869350871530,Heizung/Schlafzimmer
s,be28296a-1515-11eb-a24b-0242ac130004,1603446869373239990,Heizung/Schlafzimmer
r,be5943e2-1515-11eb-bd4b-0242ac130002,1603446869697112256,
s,be6931b2-1515-11eb-a24b-0242ac130004,1603446869799436567,Heizung/Schlafzimmer
r,be7ed9d6-1515-11eb-bd4b-0242ac130002,1603446869943103313,
r,be88c360-1515-11eb-bd4b-0242ac130002,1603446870008378897,
s,be8eb220-1515-11eb-a24b-0242ac130004,1603446870045182630,Heizung/Küche
s,be98c184-1515-11eb-a24b-0242ac130004,1603446870111136557,Heizung/Schlafzimmer
r,beaf67a4-1515-11eb-bd4b-0242ac130002,1603446870261371257,
s,bebf3814-1515-11eb-a24b-0242ac130004,1603446870363209629,Heizung/Flur
r,bf17c3da-1515-11eb-bd4b-0242ac130002,1603446870945330964,
s,bf27b646-1515-11eb-a24b-0242ac130004,1603446871048013653,Heizung/Küche
r,bf2e59ba-1515-11eb-bd4b-0242ac130002,1603446871093381774,
s,bf3e2b74-1515-11eb-a24b-0242ac130004,1603446871195184168,Heizung/Schlafzimmer
r,bf94a36e-1515-11eb-bd4b-0242ac130002,1603446871763742468,
s,bfa48694-1515-11eb-a24b-0242ac130004,1603446871865980200,Heizung/Flur
r,bfb090f6-1515-11eb-bd4b-0242ac130002,1603446871946826912,
s,bfc05d9c-1515-11eb-a24b-0242ac130004,1603446872048431819,Heizung/Küche
r,c0495dfe-1515-11eb-bd4b-0242ac130002,1603446872947588488,
s,c0593148-1515-11eb-a24b-0242ac130004,1603446873050010118,Heizung/Küche
r,c079ca16-1515-11eb-bd4b-0242ac130002,1603446873265472434,
s,c0899964-1515-11eb-a24b-0242ac130004,1603446873367240699,Heizung/Flur
r,c0e22872-1515-11eb-bd4b-0242ac130002,1603446873948633550,
s,c0f1d402-1515-11eb-a24b-0242ac130004,1603446874050294288,Heizung/Küche
r,c12a1be6-1515-11eb-bd4b-0242ac130002,1603446874420830271,
s,c139fc0a-1515-11eb-a24b-0242ac130004,1603446874523207819,Heizung/Schlafzimmer
r,c15f24b2-1515-11eb-bd4b-0242ac130002,1603446874768548394,
s,c16efea0-1515-11eb-a24b-0242ac130004,1603446874870600509,Heizung/Flur
r,c17add42-1515-11eb-bd4b-0242ac130002,1603446874949044711,
s,c18a641a-1515-11eb-a24b-0242ac130004,1603446875050124110,Heizung/Küche
r,c194dfda-1515-11eb-bd4b-0242ac130002,1603446875120240516,
s,c1a4b25c-1515-11eb-a24b-0242ac130004,1603446875222547636,Heizung/Schlafzimmer
r,c213bd3c-1515-11eb-bd4b-0242ac130002,1603446875951787244,
r,c21b27f2-1515-11eb-bd4b-0242ac130002,1603446876000399864,
s,c2238636-1515-11eb-a24b-0242ac130004,1603446876053720116,Heizung/Küche
s,c22aff74-1515-11eb-a24b-0242ac130004,1603446876102705618,Heizung/Schlafzimmer
r,c2445cd0-1515-11eb-bd4b-0242ac130002,1603446876270973285,
s,c25431a0-1515-11eb-a24b-0242ac130004,1603446876372687071,Heizung/Flur
r,c2ac9f16-1515-11eb-bd4b-0242ac130002,1603446876953712737,
s,c2bc6de2-1515-11eb-a24b-0242ac130004,1603446877055778791,Heizung/Küche
r,c329ac90-1515-11eb-bd4b-0242ac130002,1603446877773729817,
r,c32bc070-1515-11eb-bd4b-0242ac130002,1603446877786989813,
s,c339bb62-1515-11eb-a24b-0242ac130004,1603446877876973016,Heizung/Flur
s,c33b7d08-1515-11eb-a24b-0242ac130004,1603446877888486451,Heizung/Schlafzimmer
r,c34575d8-1515-11eb-bd4b-0242ac130002,1603446877955282917,
s,c3554706-1515-11eb-a24b-0242ac130004,1603446878057515327,Heizung/Küche
r,c38d919c-1515-11eb-bd4b-0242ac130002,1603446878428460189,
