type,uuid,timestamp,runtime
r,e400d552-0ca4-11eb-beaf-0242ac120003,1.6025187904378376e+18,0.43906816
r,e403657e-0ca4-11eb-beaf-0242ac120003,1.6025187904708221e+18,0.472052736
r,e405e6d2-0ca4-11eb-beaf-0242ac120003,1.6025187904713833e+18,0.472613888
r,e4088536-0ca4-11eb-beaf-0242ac120003,1.6025187905047058e+18,0.505936384
r,e40b13fa-0ca4-11eb-beaf-0242ac120003,1.602518790505265e+18,0.506495488
r,e40da250-0ca4-11eb-beaf-0242ac120003,1.602518790537953e+18,0.539183616
r,e41027fa-0ca4-11eb-beaf-0242ac120003,1.6025187905384645e+18,0.539695104
r,e412ba92-0ca4-11eb-beaf-0242ac120003,1.6025187905718618e+18,0.573092352
r,e415417c-0ca4-11eb-beaf-0242ac120003,1.602518790572607e+18,0.573837568
r,e417dcde-0ca4-11eb-beaf-0242ac120003,1.6025187906049155e+18,0.606146048
r,e41a6526-0ca4-11eb-beaf-0242ac120003,1.6025187906054505e+18,0.606681088
r,e41cfcc8-0ca4-11eb-beaf-0242ac120003,1.602518790638256e+18,0.63948672
r,e41f7dcc-0ca4-11eb-beaf-0242ac120003,1.6025187906387338e+18,0.639964416
r,e421fdfe-0ca4-11eb-beaf-0242ac120003,1.6025187906715927e+18,0.672823296
r,e42486be-0ca4-11eb-beaf-0242ac120003,1.6025187906722327e+18,0.673463296
r,e4272978-0ca4-11eb-beaf-0242ac120003,1.602518790705275e+18,0.706505472
r,e429aff4-0ca4-11eb-beaf-0242ac120003,1.6025187907058824e+18,0.70711296
r,e42c3f3a-0ca4-11eb-beaf-0242ac120003,1.6025187907388275e+18,0.740058112
r,e42ec732-0ca4-11eb-beaf-0242ac120003,1.6025187907393966e+18,0.7406272
r,e4314ffc-0ca4-11eb-beaf-0242ac120003,1.6025187907718866e+18,0.773117184
r,e433d600-0ca4-11eb-beaf-0242ac120003,1.6025187907724895e+18,0.773720064
r,e43674d2-0ca4-11eb-beaf-0242ac120003,1.6025187908056335e+18,0.806864128
r,e438ffe0-0ca4-11eb-beaf-0242ac120003,1.6025187908061957e+18,0.807426304
r,e43b79aa-0ca4-11eb-beaf-0242ac120003,1.602518790837814e+18,0.839044608
r,e43debb8-0ca4-11eb-beaf-0242ac120003,1.6025187908383803e+18,0.83961088
r,e4406cc6-0ca4-11eb-beaf-0242ac120003,1.6025187908700772e+18,0.871307776
r,e442dd58-0ca4-11eb-beaf-0242ac120003,1.6025187908704932e+18,0.871723776
r,e4455308-0ca4-11eb-beaf-0242ac120003,1.6025187909024428e+18,0.903673344
r,e447cb10-0ca4-11eb-beaf-0242ac120003,1.6025187909029484e+18,0.904178944
r,e44a54b6-0ca4-11eb-beaf-0242ac120003,1.6025187909355717e+18,0.936802304
r,e44cd970-0ca4-11eb-beaf-0242ac120003,1.6025187909360835e+18,0.937314048
r,e44fa01a-0ca4-11eb-beaf-0242ac120003,1.6025187909703867e+18,0.97161728
r,e452266e-0ca4-11eb-beaf-0242ac120003,1.6025187909709094e+18,0.972140032
r,e454b5b4-0ca4-11eb-beaf-0242ac120003,1.602518791003535e+18,1.004765696
r,e45736ae-0ca4-11eb-beaf-0242ac120003,1.602518791004099e+18,1.005329664
r,e459b73a-0ca4-11eb-beaf-0242ac120003,1.6025187910366866e+18,1.037917184
r,e45c45f4-0ca4-11eb-beaf-0242ac120003,1.6025187910371633e+18,1.038393856
r,e45ed36e-0ca4-11eb-beaf-0242ac120003,1.6025187910693164e+18,1.070546944
r,e4614b12-0ca4-11eb-beaf-0242ac120003,1.602518791069724e+18,1.070954496
r,e463cf18-0ca4-11eb-beaf-0242ac120003,1.602518791102325e+18,1.103555584
r,e4664d6a-0ca4-11eb-beaf-0242ac120003,1.6025187911028058e+18,1.104036352
r,e468d382-0ca4-11eb-beaf-0242ac120003,1.6025187911353283e+18,1.136558848
r,e46b54d6-0ca4-11eb-beaf-0242ac120003,1.6025187911358382e+18,1.1370688
r,e46de6e2-0ca4-11eb-beaf-0242ac120003,1.6025187911692465e+18,1.170477056
r,e4707362-0ca4-11eb-beaf-0242ac120003,1.6025187911696758e+18,1.170906368
r,e4730bd6-0ca4-11eb-beaf-0242ac120003,1.6025187912018058e+18,1.203036416
r,e4758276-0ca4-11eb-beaf-0242ac120003,1.6025187912022428e+18,1.203473408
r,e478058c-0ca4-11eb-beaf-0242ac120003,1.6025187912347162e+18,1.235946752
r,e47a8438-0ca4-11eb-beaf-0242ac120003,1.6025187912351516e+18,1.236382208
r,e47d1036-0ca4-11eb-beaf-0242ac120003,1.6025187912677844e+18,1.26901504
r,e47f914e-0ca4-11eb-beaf-0242ac120003,1.6025187912682194e+18,1.269449984
r,e48215ea-0ca4-11eb-beaf-0242ac120003,1.6025187913011118e+18,1.3023424
r,e4849b80-0ca4-11eb-beaf-0242ac120003,1.602518791301579e+18,1.3028096
r,e487308e-0ca4-11eb-beaf-0242ac120003,1.602518791334637e+18,1.335867648
r,e489bc6e-0ca4-11eb-beaf-0242ac120003,1.602518791335149e+18,1.336379648
r,e48c47ea-0ca4-11eb-beaf-0242ac120003,1.6025187913679583e+18,1.369188864
r,e48ece8e-0ca4-11eb-beaf-0242ac120003,1.6025187913685202e+18,1.369750784
r,e4915924-0ca4-11eb-beaf-0242ac120003,1.602518791401023e+18,1.402253568
r,e493dac8-0ca4-11eb-beaf-0242ac120003,1.6025187914016003e+18,1.402830848
r,e49674e0-0ca4-11eb-beaf-0242ac120003,1.602518791434676e+18,1.43590656
r,e499014c-0ca4-11eb-beaf-0242ac120003,1.602518791435204e+18,1.436434688
r,e49b9646-0ca4-11eb-beaf-0242ac120003,1.6025187914681994e+18,1.469430016
r,e49e1ea2-0ca4-11eb-beaf-0242ac120003,1.6025187914687142e+18,1.469944832
r,e4a0a6cc-0ca4-11eb-beaf-0242ac120003,1.6025187915010232e+18,1.502253824
r,e4a322b2-0ca4-11eb-beaf-0242ac120003,1.6025187915015055e+18,1.502736128
r,e4a5b220-0ca4-11eb-beaf-0242ac120003,1.602518791534729e+18,1.535959552
r,e4a83f54-0ca4-11eb-beaf-0242ac120003,1.602518791535292e+18,1.536522496
r,e4aaddf4-0ca4-11eb-beaf-0242ac120003,1.6025187915683328e+18,1.569563392
r,e4ad65c4-0ca4-11eb-beaf-0242ac120003,1.602518791568822e+18,1.570052608
r,e4aff640-0ca4-11eb-beaf-0242ac120003,1.6025187916017544e+18,1.60298496
r,e4b27c76-0ca4-11eb-beaf-0242ac120003,1.602518791602388e+18,1.60361856
r,e4b50ed2-0ca4-11eb-beaf-0242ac120003,1.6025187916346967e+18,1.635927296
r,e4b79ef4-0ca4-11eb-beaf-0242ac120003,1.6025187916349402e+18,1.636170752
r,e4b9fa50-0ca4-11eb-beaf-0242ac120003,1.6025187916674493e+18,1.668679936
r,e4bc8d9c-0ca4-11eb-beaf-0242ac120003,1.602518791667885e+18,1.669115648
r,e4bf11c0-0ca4-11eb-beaf-0242ac120003,1.6025187917007204e+18,1.701950976
r,e4c19918-0ca4-11eb-beaf-0242ac120003,1.6025187917011958e+18,1.702426368
r,e4c421a6-0ca4-11eb-beaf-0242ac120003,1.6025187917342134e+18,1.735443968
r,e4c6a9f8-0ca4-11eb-beaf-0242ac120003,1.6025187917347814e+18,1.736012032
r,e4c947da-0ca4-11eb-beaf-0242ac120003,1.6025187917681244e+18,1.769355008
r,e4cbd996-0ca4-11eb-beaf-0242ac120003,1.6025187917688333e+18,1.770063872
r,e4ce6c1a-0ca4-11eb-beaf-0242ac120003,1.6025187918016174e+18,1.802848
r,e4d0f4f8-0ca4-11eb-beaf-0242ac120003,1.602518791802222e+18,1.803452672
r,e4d385d8-0ca4-11eb-beaf-0242ac120003,1.6025187918353388e+18,1.836569344
r,e4d614d8-0ca4-11eb-beaf-0242ac120003,1.6025187918359178e+18,1.837148416
r,e4d88dc6-0ca4-11eb-beaf-0242ac120003,1.6025187918673787e+18,1.86860928
