sent messages,sent bytes,received bytes,payload
590,202570,41498,200
583,316769,41008,400
587,436341,41491,600
583,549969,41008,800
587,671207,41288,1000
590,792570,41498,1200
586,904398,41218,1400
590,1028570,80438,1600
584,1134912,79622,1800
585,1253855,79758,2000
583,1366169,79486,2200
588,1495484,80166,2400
581,1593883,79214,2600
582,1713026,79350,2800
589,1851427,80302,3000
584,1952512,79622,3200
587,2079941,80030,3400
585,2189855,79758,3600
589,2322627,80302,3800
582,2411426,79350,4000
582,2527826,79350,4200
590,2680570,80438,4400
587,2784341,80030,4600
581,2872083,79214,4800
590,3034570,80438,5000
590,3152570,80438,5200
583,3231769,79486,5400
581,3336883,79214,5600
582,3459026,79350,5800
587,3606141,80030,6000
585,3710855,79758,6200
584,3821312,79622,6400
581,3917883,79214,6600
590,4096570,80438,6800
589,4207427,80302,7000
588,4317884,80166,7200
585,4412921,79758,7400
584,4522178,79622,7600
585,4646921,79758,7800
584,4755778,79622,8000
584,4872578,79622,8200
590,5040636,80438,8400
581,5079949,79600,8600
587,5249807,80030,8800
582,5321492,79350,9000
588,5493950,80166,9200
585,5582921,79758,9400
587,5719407,80030,9600
582,5787092,79350,9800
586,5944064,79894,10000
