sent messages,sent bytes,received bytes,payload
584,160976,38984,200
588,279676,39248,400
589,397951,39314,600
581,508751,38786,800
581,624951,38786,1000
589,751351,39314,1200
580,855876,38923,1400
587,983601,39050,1600
587,1101001,39050,1800
587,1218401,39050,2000
584,1328976,38852,2200
581,1438393,38696,2400
581,1554593,38696,2600
589,1693793,39224,2800
583,1793143,38828,3000
588,1926076,39116,3200
583,2026301,38786,3400
584,2146576,38852,3600
580,2247876,38588,3800
587,2392401,39050,4000
580,2479876,38588,4200
580,2595876,38588,4400
583,2725901,38786,4600
584,2847376,38852,4800
587,2979401,39050,5000
580,3059876,38791,5200
586,3208768,39026,5400
585,3320293,38960,5600
585,3437293,38960,5800
589,3578551,39182,6000
581,3646151,38654,6200
584,3781776,38852,6400
588,3925276,39116,6600
583,4008501,38786,6800
580,4103876,38588,7000
582,4234426,38720,7200
586,4380792,38984,7400
580,4451942,38588,7600
586,4615192,38984,7800
585,4724317,38918,8000
586,4849592,38984,8200
580,4915942,38588,8400
584,5066684,38894,8600
582,5165734,38762,8800
583,5291209,38828,9000
581,5389259,38696,9200
584,5533842,38852,9400
588,5689342,39116,9600
581,5737817,38654,9800
581,5854017,38654,10000
