runtime_x,latency
1.041209856,2.431232
1.1868672,1.947904
1.906487552,1.079296
1.9292096,1.094144
2.016845056,1.066496
2.188505344,1.382656
2.262752768,1.266688
2.365255936,2.249728
2.966221568,0.944896
3.190795776,0.699392
3.517497344,0.76032
3.556024064,0.712192
3.955581184,1.671936
4.19186944,0.748544
4.541048064,1.435648
5.019269888,0.969472
5.19423744,1.454848
6.141184256,0.821248
6.195762688,1.549312
6.520659712,1.220352
6.933572864,1.4528
7.198888192,1.849344
7.5517888,1.37856
7.918376704,1.37088
8.022284032,2.412032
8.20046336,1.680384
8.292715008,2.126336
9.080575488,1.37472
9.201828352,1.59488
9.524515072,1.718016
10.20331264,1.871104
10.739696896,1.969152
11.025886464,1.83424
11.205255936,0.780544
11.54978816,0.736512
12.19886976,1.901056
12.207004928,1.620224
12.505325568,1.698048
12.52712192,1.765376
12.629829888,3.302912
13.20809088,0.740864
13.542830592,1.81248
14.005447936,1.875968
14.028624128,1.841664
14.210014464,1.69856
15.09763712,1.24416
15.156055808,1.599744
15.21114752,1.585664
15.530104064,1.63456
16.073348096,2.528
16.212694016,2.049792
17.031447296,1.801216
17.213817088,1.473024
17.520977152,1.911296
17.543686144,1.808896
17.96926592,2.085632
18.21557888,1.763584
18.280551424,2.066688
18.533792256,1.818112
19.217727744,1.842432
19.36574336,1.87776
20.036099328,1.882368
20.219124992,1.941248
21.220503296,1.324544
21.537860608,1.851136
22.221825792,1.04704
22.693391872,1.677568
23.04095616,1.831424
23.222591488,0.69248
23.393072128,1.407744
24.224498688,1.527808
24.273109248,1.529856
24.543195392,2.017024
25.22642688,1.524992
26.045985536,1.983488
26.059585024,1.644032
26.22806784,1.454336
26.7006528,2.04672
27.229877248,1.560832
27.408463616,1.90464
27.54759808,2.165504
28.233041408,1.90464
29.04909696,1.474816
29.233973248,0.91264
