uuid,message_x,timestamp_x,runtime_x,losses,sum of losses
b4423fe4-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468527669706e+18,1.041209856,0,0
b4523854-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468528716436e+18,1.14588288,0,0
b4587980-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.603446852912628e+18,1.1868672,0,0
b4686c82-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468530171694e+18,1.29140864,0,0
b4c64898-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468536322483e+18,1.906487552,0,0
b4c9c02c-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468536549704e+18,1.9292096,0,0
b4d6130e-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468537357696e+18,2.010008832,0,0
b4d71f4c-1515-11eb-bd4b-0242ac130002,Temperatur/Flur,1.6034468537426058e+18,2.016845056,0,0
b4d96554-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468537575124e+18,2.03175168,0,0
b4e714ce-1515-11eb-a24b-0242ac130004,Heizung/Flur,1.6034468538472253e+18,2.121464576,0,0
b4f1501a-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.603446853914266e+18,2.188505344,0,0
b4fca4d8-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468539885135e+18,2.262752768,0,0
b5013ae8-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468540185871e+18,2.292826368,0,0
b50c4898-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468540910167e+18,2.365255936,0,0
b50c773c-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468540922227e+18,2.366461952,0,0
b51c3906-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468541954885e+18,2.469727744,0,0
b567fc9c-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468546919823e+18,2.966221568,0,0
b5778b8a-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468547939564e+18,3.068195584,0,0
b58a40ea-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468549165565e+18,3.190795776,0,0
b599c75e-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468550183037e+18,3.292542976,0,0
b5bc1b1a-1515-11eb-bd4b-0242ac130002,Temperatur/Flur,1.603446855243258e+18,3.517497344,0,0
b5c1fc10-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468552817848e+18,3.556024064,0,0
b5cb9432-1515-11eb-a24b-0242ac130004,Heizung/Flur,1.6034468553446692e+18,3.618908416,0,0
b5d18518-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468553836155e+18,3.65785472,0,0
b5fef2aa-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.603446855681342e+18,3.955581184,0,0
b60ebb90-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468557848074e+18,4.059046656,0,0
b62301c2-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468559176302e+18,4.19186944,0,0
b632927c-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468560196657e+18,4.293904896,0,0
b6584896-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468562668088e+18,4.541048064,0,0
b6681316-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468563702984e+18,4.6445376,0,0
b6a141ea-1515-11eb-bd4b-0242ac130002,Temperatur/Flur,1.6034468567450307e+18,5.019269888,0,0
b6b0fd10-1515-11eb-a24b-0242ac130004,Heizung/Flur,1.6034468568481705e+18,5.122409728,0,0
b6bbf3e6-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468569199982e+18,5.19423744,0,0
b6cbaf20-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.60344685702308e+18,5.297319168,0,0
b74c72cc-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.603446857866945e+18,6.141184256,0,0
b754c648-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468579215235e+18,6.195762688,0,0
b75c0d7c-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468579692595e+18,6.243498752,0,0
b764a1da-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468580254853e+18,6.299724544,0,0
b786599c-1515-11eb-bd4b-0242ac130002,Temperatur/Flur,1.6034468582464205e+18,6.520659712,0,0
b7961c10-1515-11eb-a24b-0242ac130004,Heizung/Flur,1.603446858349802e+18,6.624041216,0,0
b7c55ab6-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468586593336e+18,6.933572864,0,0
b7d52608-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468587628746e+18,7.037113856,0,0
b7edd61c-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.603446858924649e+18,7.198888192,0,0
b7fda0c4-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468590281137e+18,7.302352896,0,0
b823afee-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468592775496e+18,7.5517888,0,0
b83371d6-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.60344685938083e+18,7.655069184,0,0
b85b9fbc-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468596441375e+18,7.918376704,0,0
b86b6a6e-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468597476603e+18,8.02189952,0,0
b86b79d2-1515-11eb-bd4b-0242ac130002,Temperatur/Flur,1.6034468597480448e+18,8.022284032,0,0
b87b75a8-1515-11eb-a24b-0242ac130004,Heizung/Flur,1.6034468598528033e+18,8.12704256,0,0
b886aa68-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468599262241e+18,8.20046336,0,0
b894bd7e-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468600184758e+18,8.292715008,0,0
b8966296-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468600292408e+18,8.303480064,0,0
b8a4b0a8-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468601230154e+18,8.397254656,0,0
b90cf5dc-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468608063363e+18,9.080575488,0,0
b91cc23c-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468609098895e+18,9.184128768,0,0
b91f75d6-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.603446860927589e+18,9.201828352,0,0
b92f3944-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468610309112e+18,9.305150464,0,0
b950b2b8-1515-11eb-bd4b-0242ac130002,Temperatur/Flur,1.6034468612502758e+18,9.524515072,0,0
b9606ad2-1515-11eb-a24b-0242ac130004,Heizung/Flur,1.6034468613532777e+18,9.627516928,0,0
b9b8463a-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468619290734e+18,10.20331264,0,0
b9c80a16-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468620323853e+18,10.306624512,0,0
ba0a1ec4-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468624654577e+18,10.739696896,0,0
ba19f4ac-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468625692503e+18,10.843489536,0,0
ba35ca06-1515-11eb-bd4b-0242ac130002,Temperatur/Flur,1.6034468627516472e+18,11.025886464,0,0
ba45ac3c-1515-11eb-a24b-0242ac130004,Heizung/Flur,1.6034468628557558e+18,11.129995008,0,0
ba512a08-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468629310167e+18,11.205255936,0,0
ba60bfb8-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.603446863033171e+18,11.307410176,0,0
ba85bc5a-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.603446863275549e+18,11.54978816,0,0
ba9546f2-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468633774088e+18,11.651648,0,0
bae8c5b6-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468639246305e+18,12.19886976,0,0
baea037c-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468639327657e+18,12.207004928,0,0
baf890ae-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468640281334e+18,12.302372608,0,0
baf9c424-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468640360095e+18,12.310248704,0,0
bb1788e2-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468642310863e+18,12.505325568,0,0
bb1adc40-1515-11eb-bd4b-0242ac130002,Temperatur/Flur,1.6034468642528827e+18,12.52712192,0,0
bb276b72-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468643352102e+18,12.609449472,0,0
bb2a8820-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468643555907e+18,12.629829888,0,0
bb2ad10e-1515-11eb-a24b-0242ac130004,Heizung/Flur,1.6034468643574687e+18,12.631707904,0,0
bb3a99e0-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468644609219e+18,12.735161088,0,0
bb82c5bc-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468649338516e+18,13.20809088,0,0
bb925d38-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468650360627e+18,13.310301952,0,0
bbb5d844-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468652685914e+18,13.542830592,0,0
bbc59572-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.603446865371723e+18,13.64596224,0,0
bbfc6f2a-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468657312087e+18,14.005447936,0,0
bbfff870-1515-11eb-bd4b-0242ac130002,Temperatur/Flur,1.603446865754385e+18,14.028624128,0,0
bc0c76f4-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468658362647e+18,14.110503936,0,0
bc0fca7a-1515-11eb-a24b-0242ac130004,Heizung/Flur,1.6034468658580664e+18,14.132305664,0,0
bc1ba638-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468659357752e+18,14.210014464,0,0
bc2b9390-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.603446866040177e+18,14.314416128,0,0
bca31794-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.603446866823398e+18,15.09763712,0,0
bcabff8a-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468668818166e+18,15.156055808,0,0
bcb2e17e-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468669269046e+18,15.201143808,0,0
bcb46940-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468669369083e+18,15.21114752,0,0
bcbbb5e2-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.6034468669847475e+18,15.258986752,0,0
bcc42c2c-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468670402053e+18,15.314444544,0,0
bce51414-1515-11eb-bd4b-0242ac130002,Temperatur/Flur,1.6034468672558648e+18,15.530104064,0,0
bcf4d7d2-1515-11eb-a24b-0242ac130004,Heizung/Flur,1.6034468673591634e+18,15.633402624,0,0
bd37f79c-1515-11eb-bd4b-0242ac130002,Temperatur/Schlafzimmer,1.6034468677991089e+18,16.073348096,0,0
bd48059c-1515-11eb-a24b-0242ac130004,Heizung/Schlafzimmer,1.603446867904305e+18,16.178544128,0,0
bd4d3bc0-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468679384548e+18,16.212694016,0,0
bd5d159a-1515-11eb-a24b-0242ac130004,Heizung/Küche,1.6034468680423534e+18,16.31659264,0,0
bdca2a40-1515-11eb-bd4b-0242ac130002,Temperatur/Flur,1.603446868757208e+18,17.031447296,0,0
bdd9f38a-1515-11eb-a24b-0242ac130004,Heizung/Flur,1.6034468688606723e+18,17.134911488,0,0
bde5fe96-1515-11eb-bd4b-0242ac130002,Temperatur/Küche,1.6034468689395779e+18,17.213817088,0,0
