runtime_x,latency
0.880124416,1.281024
0.983525888,1.446656
1.675750912,1.987328
1.779858688,1.7344
1.831969792,1.872128
1.935639808,1.353728
2.6375552,0.6656
2.675781376,0.456704
2.739243264,0.467712
2.776973824,0.432896
3.334070016,1.758464
3.438339072,1.195008
3.677786112,1.360128
3.781002752,1.549312
4.680468992,1.746432
4.78419328,1.682944
4.83575296,2.027008
4.939790336,1.050624
5.682959872,1.840896
5.786820608,1.463296
6.337936896,1.953792
6.442087168,1.376256
6.685660928,1.961216
6.789768704,1.438208
7.5551552,0.524288
7.657500672,1.182208
7.686577664,1.599488
7.790757376,1.310976
7.839725312,2.048256
7.943897344,1.947136
8.604825856,0.416768
8.688191232,1.77152
8.7076288,1.232128
8.792790272,1.33248
8.834534656,1.949696
8.938278912,1.233408
9.34239104,1.4016
9.44586368,1.37856
9.689875968,1.02784
9.793589248,1.72416
10.692987904,1.499392
10.796461824,1.2224
10.84355072,1.265408
10.946774016,1.62688
11.14310144,1.349888
11.246681088,1.664768
11.59602944,1.829888
11.6948096,1.431296
11.699657984,1.221632
11.798585088,1.435648
12.346456064,1.894912
12.450624,1.421056
12.697906944,1.691648
12.801047808,1.066496
13.699676928,2.007296
13.792177408,1.042176
13.805174784,1.15456
13.847291904,1.340928
13.894857216,1.048064
13.950664192,1.10848
14.701990144,1.958656
14.806039296,1.307648
15.350046464,1.838592
15.454185984,1.71776
15.704321792,1.850368
15.807983872,1.775616
15.978805504,1.725184
16.081977856,0.651008
16.70643712,1.71264
16.810579456,1.669888
16.85218816,1.579776
16.95548416,1.387776
17.374972928,1.257984
17.47731456,0.472832
17.552230144,0.421888
17.65374848,0.48512
17.70749952,0.493056
17.809357056,0.765696
18.095299328,0.699648
18.197688576,0.918784
18.353958912,1.769984
18.457661184,1.476096
18.64113536,0.589312
18.708431104,0.466432
18.742886144,0.457728
18.80973696,0.421376
18.916718848,0.857856
19.019484928,1.086976
19.711452672,1.67552
19.814862848,0.989696
19.855479552,0.984832
19.958180352,0.987648
20.388710144,0.417024
20.490988544,0.893696
20.695401216,0.786688
20.711912704,0.92544
20.798046464,1.281792
20.8147712,1.247744
21.214736384,0.682496
21.316767744,0.879104
21.356468736,1.14432
21.459393536,0.637696
21.713322496,0.752384
21.815656448,1.047552
21.858716416,1.5296
21.963049984,1.257984
22.71568256,1.0624
22.818636544,1.285888
22.858558208,1.73568
22.962496512,1.434112
22.989712384,1.775104
23.0932416,1.189632
23.32725248,1.933056
23.43138048,1.441024
23.718021888,1.731328
23.821819648,1.658112
24.361260288,2.079488
24.465820672,1.602048
24.719324928,1.348096
24.82325376,1.649664
25.577137664,1.993472
25.68137984,1.582336
25.721261824,0.838144
25.823936512,1.691904
25.863021312,1.382912
25.966253312,1.504
26.661827328,1.298432
26.723373056,2.013184
26.765325312,1.426944
26.796742912,1.426688
26.82768512,1.073152
26.901346304,1.449984
27.201668096,1.242624
27.304991488,1.755392
27.365405184,1.25568
27.46852096,1.57824
27.724648448,0.881408
27.82709376,0.493568
28.105435136,1.754112
28.209182208,1.245184
28.40381824,1.471488
28.482849536,1.690368
28.5070848,1.028608
28.586733312,1.363712
28.727040512,1.780224
28.831068416,1.640192
28.86664704,0.773888
28.968667136,0.493312
29.729331456,1.566208
29.833716992,1.43104
29.944759552,2.025728
