runtime_x,latency
1.14588288,1.808384
1.29140864,2.198272
2.010008832,1.949696
2.03175168,1.044224
2.121464576,1.832448
2.292826368,1.405184
2.366461952,1.233152
2.469727744,1.453312
3.068195584,1.190144
3.292542976,0.849408
3.618908416,0.763392
3.65785472,0.667648
4.059046656,1.690112
4.293904896,1.151488
4.6445376,1.204992
5.122409728,2.004224
5.297319168,0.709632
6.243498752,2.249472
6.299724544,2.061312
6.624041216,1.825024
7.037113856,2.016256
7.302352896,0.709888
7.655069184,1.421568
8.02189952,2.68032
8.12704256,2.09792
8.303480064,1.323776
8.397254656,2.03136
9.184128768,1.586944
9.305150464,1.795584
9.627516928,1.144064
10.306624512,1.347328
10.843489536,1.925632
11.129995008,1.854208
11.307410176,1.073152
11.651648,0.812032
12.302372608,1.582592
12.310248704,1.615872
12.609449472,1.892096
12.631707904,1.732864
12.735161088,1.847552
13.310301952,1.310976
13.64596224,1.054464
14.110503936,1.450496
14.132305664,1.539328
14.314416128,1.891072
15.201143808,1.82912
15.258986752,1.273344
15.314444544,1.283328
15.633402624,0.9344
16.178544128,1.746432
16.31659264,2.142208
17.134911488,1.856
17.317421824,2.095872
17.625110784,2.048512
17.647479296,2.093568
18.073675776,2.12992
18.319421952,1.259008
18.385375744,1.867008
18.63744896,1.826304
19.3222528,1.92384
19.46942336,1.68448
20.140219392,1.585408
20.322671104,1.63712
21.324249344,1.967616
21.641479936,1.678592
22.324533504,1.150976
22.797447168,1.895936
23.14483968,1.534208
23.324363264,0.894208
23.496786944,1.7024
24.327959296,1.616896
24.376944896,1.687808
24.646926336,1.72416
25.330018048,1.061632
26.151212288,1.373696
26.162725632,1.542912
26.331754496,2.090752
26.804368384,1.692672
27.333872896,1.896704
27.512743424,1.65504
27.65182208,1.94688
28.337232128,1.562624
29.152221696,1.411584
29.336544512,1.275904
