runtime_x,latency
0.880124416,1.281024
1.675750912,1.987328
1.831969792,1.872128
2.6375552,0.6656
2.675781376,0.456704
3.334070016,1.758464
3.677786112,1.360128
4.680468992,1.746432
4.83575296,2.027008
5.682959872,1.840896
6.337936896,1.953792
6.685660928,1.961216
7.5551552,0.524288
7.686577664,1.599488
7.839725312,2.048256
8.604825856,0.416768
8.688191232,1.77152
8.834534656,1.949696
9.34239104,1.4016
9.689875968,1.02784
10.692987904,1.499392
10.84355072,1.265408
11.14310144,1.349888
11.59602944,1.829888
11.6948096,1.431296
12.346456064,1.894912
12.697906944,1.691648
13.699676928,2.007296
13.792177408,1.042176
13.847291904,1.340928
14.701990144,1.958656
15.350046464,1.838592
15.704321792,1.850368
15.978805504,1.725184
16.70643712,1.71264
16.85218816,1.579776
17.374972928,1.257984
17.552230144,0.421888
17.70749952,0.493056
18.095299328,0.699648
18.353958912,1.769984
18.64113536,0.589312
18.708431104,0.466432
18.916718848,0.857856
19.711452672,1.67552
19.855479552,0.984832
20.388710144,0.417024
20.695401216,0.786688
20.711912704,0.92544
21.214736384,0.682496
21.356468736,1.14432
21.713322496,0.752384
21.858716416,1.5296
22.71568256,1.0624
22.858558208,1.73568
22.989712384,1.775104
23.32725248,1.933056
23.718021888,1.731328
24.361260288,2.079488
24.719324928,1.348096
25.577137664,1.993472
25.721261824,0.838144
25.863021312,1.382912
26.661827328,1.298432
26.723373056,2.013184
26.796742912,1.426688
27.201668096,1.242624
27.365405184,1.25568
27.724648448,0.881408
28.105435136,1.754112
28.40381824,1.471488
28.482849536,1.690368
28.727040512,1.780224
28.86664704,0.773888
29.729331456,1.566208
29.944759552,2.025728
